City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
160,Saint-Philippe,RE,-21.3585,55.7679,72.99,87,50,14.61,light rain
161,Barrow,US,71.2906,-156.7887,5.02,78,0,26.46,snow
162,Planeta Rica,CO,8.4147,-75.5883,83.17,78,99,7.9,overcast clouds
163,Sangar,RU,63.9242,127.4739,13.5,87,67,1.63,broken clouds
164,Magnitka,RU,55.3475,59.6961,38.71,95,79,12.24,broken clouds
165,Port Elizabeth,ZA,-33.918,25.5701,57.49,82,0,4.61,clear sky
166,La Ronge,CA,55.1001,-105.2842,30.42,29,75,3.44,broken clouds
167,Saint-Denis,FR,48.9167,2.3333,60.15,69,0,8.05,clear sky
168,Thompson,CA,55.7435,-97.8558,24.96,39,100,14.97,overcast clouds
169,Half Moon Bay,US,37.4636,-122.4286,71.58,56,0,16.11,clear sky
170,Ikorodu,NG,6.6191,3.5041,82.2,78,93,9.57,overcast clouds
171,Tasiilaq,GL,65.6145,-37.6368,35.76,99,100,8.97,moderate rain
172,Bambous Virieux,MU,-20.3428,57.7575,77.25,83,40,14.97,light rain
173,Nelson Bay,AU,-32.7167,152.15,66.99,90,98,2.1,overcast clouds
174,Jonkoping,SE,57.7814,14.1562,28.11,100,25,0.0,scattered clouds
175,Mehamn,NO,71.0357,27.8492,35.89,98,100,24.32,overcast clouds
176,Lompoc,US,34.6391,-120.4579,72.7,71,0,25.01,clear sky
177,Constantine,DZ,36.365,6.6147,53.01,87,75,8.05,broken clouds
178,Ergani,TR,38.2653,39.7621,46.78,59,9,6.93,clear sky
179,Provideniya,RU,64.3833,-173.3,32.81,94,100,28.34,light snow
180,Zvishavane,ZW,-20.3267,30.0665,69.6,79,75,2.28,broken clouds
181,Atar,MR,20.5169,-13.0499,78.1,15,0,1.52,clear sky
182,Orange Cove,US,36.6244,-119.3137,75.79,32,31,6.13,scattered clouds
183,Anadyr,RU,64.75,177.4833,36.1,74,0,17.9,clear sky
184,Richards Bay,ZA,-28.783,32.0377,68.23,87,100,17.22,light rain
185,Maues,BR,-3.3836,-57.7186,74.37,98,100,2.77,moderate rain
186,Hobyo,SO,5.3505,48.5268,82.27,73,93,12.68,overcast clouds
187,Kaeo,NZ,-35.1,173.7833,69.33,79,85,6.87,overcast clouds
188,Bredasdorp,ZA,-34.5322,20.0403,58.28,59,97,11.95,overcast clouds
189,Namwala,ZM,-15.7504,26.4384,69.57,83,100,1.32,overcast clouds
190,Dhaka,BD,23.7104,90.4074,82.38,65,75,13.8,haze
191,Bonfim,BR,3.0833,-59.95,76.48,80,100,3.96,overcast clouds
192,Kruisfontein,ZA,-34.0033,24.7314,53.89,76,100,6.11,light rain
193,Martapura,ID,-3.4167,114.85,74.91,95,92,1.43,overcast clouds
194,Ambulu,ID,-8.345,113.6058,75.81,91,53,3.13,broken clouds
195,San Cristobal,VE,7.7669,-72.225,77.18,69,100,3.78,overcast clouds
196,Fayetteville,US,35.0527,-78.8784,75.72,21,0,9.22,clear sky
197,Sambava,MG,-14.2667,50.1667,76.77,88,90,10.09,moderate rain
198,Ewa Beach,US,21.3156,-158.0072,84.15,47,40,17.0,scattered clouds
199,Severo-Kurilsk,RU,50.6789,156.125,31.75,81,66,1.77,broken clouds
200,Limbang,MY,4.75,115.0,78.91,96,70,0.96,broken clouds
201,Bahia Honda,CU,22.9036,-83.1592,79.56,76,46,7.52,scattered clouds
202,Axim,GH,4.8699,-2.2405,80.01,84,59,7.63,broken clouds
203,Tuatapere,NZ,-46.1333,167.6833,54.57,57,43,17.94,scattered clouds
204,Wellington,NZ,-41.2866,174.7756,65.07,79,20,26.46,few clouds
205,Castilho,BR,-20.8722,-51.4875,66.94,73,0,8.21,clear sky
206,Torbay,CA,47.6666,-52.7314,39.97,60,40,9.22,scattered clouds
207,Arti,RU,56.4234,58.5328,38.3,97,100,12.97,light rain
208,Kupang,ID,-10.1667,123.5833,79.77,80,59,5.32,broken clouds
209,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.59,63,94,19.57,overcast clouds
210,Dikson,RU,73.5069,80.5464,15.15,96,100,10.13,overcast clouds
211,Caconda,AO,-13.7333,15.0667,59.2,93,100,1.41,light rain
212,East London,ZA,-33.0153,27.9116,61.7,64,100,10.07,overcast clouds
213,Novoagansk,RU,61.9449,76.6625,40.75,96,100,9.62,overcast clouds
214,Narsaq,GL,60.9167,-46.05,32.22,76,64,3.24,broken clouds
215,Mae Sai,TH,20.4335,99.8762,80.4,44,80,1.34,broken clouds
216,Riyadh,SA,24.6877,46.7219,80.74,28,96,7.96,overcast clouds
217,Kassala,SD,15.451,36.4,86.94,37,45,7.4,scattered clouds
218,Togur,RU,58.3631,82.8265,35.8,93,100,6.08,overcast clouds
219,Alofi,NU,-19.0595,-169.9187,84.09,74,49,2.3,scattered clouds
220,Barahona,DO,18.2085,-71.1008,84.02,61,40,9.22,scattered clouds
221,Bonavista,CA,48.6499,-53.1147,32.58,81,51,16.2,broken clouds
222,Losino-Petrovskiy,RU,55.8696,38.2006,42.42,96,100,4.83,light rain
223,Faanui,PF,-16.4833,-151.75,82.2,70,8,18.21,light rain
224,Kosa,RU,59.9445,54.9977,26.13,94,100,8.61,overcast clouds
225,Linxia,CN,35.6003,103.2064,38.79,78,100,2.77,overcast clouds
226,Oranjemund,NA,-28.55,16.4333,55.18,82,0,11.5,clear sky
227,Dukat,RU,62.55,155.55,12.27,90,97,5.17,overcast clouds
228,Nsanje,MW,-16.92,35.262,74.23,95,0,2.3,clear sky
229,Sistranda,NO,63.7256,8.834,42.76,87,89,11.52,overcast clouds
230,Miri,MY,4.4148,114.0089,77.14,94,40,3.44,light rain
231,Hami,CN,42.8,93.45,42.1,45,67,8.5,broken clouds
232,Tahta,EG,26.7693,31.5021,72.63,19,0,3.98,clear sky
233,Lasa,IT,46.6166,10.7002,54.48,93,56,6.51,broken clouds
234,Yar-Sale,RU,66.8333,70.8333,17.24,87,100,8.32,overcast clouds
235,Candido Mendes,BR,-1.4467,-45.7167,75.09,95,100,2.84,overcast clouds
236,Athabasca,CA,54.7169,-113.2854,36.01,52,100,6.38,overcast clouds
237,Kaitangata,NZ,-46.2817,169.8464,55.56,52,68,20.54,broken clouds
238,Vila Velha,BR,-20.3297,-40.2925,76.95,74,100,12.66,overcast clouds
239,Pacific Grove,US,36.6177,-121.9166,67.55,69,0,11.5,clear sky
240,Cidreira,BR,-30.1811,-50.2056,64.27,65,50,6.62,scattered clouds
241,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,88,25,5.82,scattered clouds
242,Mitu,CO,1.1983,-70.1733,74.23,94,87,2.26,overcast clouds
243,Ippy,CF,6.2679,21.2247,72.55,89,100,6.6,overcast clouds
244,Samdari,IN,25.8167,72.5833,78.82,58,0,8.01,clear sky
245,Ojinaga,MX,29.5667,-104.4167,93.58,15,0,5.75,clear sky
246,Rundu,NA,-17.9333,19.7667,66.87,70,11,2.1,few clouds
247,Broome,US,42.2506,-75.833,62.2,32,75,21.85,broken clouds
248,Tocopilla,CL,-22.092,-70.1979,63.57,72,17,6.78,few clouds
249,Vanimo,PG,-2.6741,141.3028,81.79,78,54,4.79,broken clouds
250,Raudeberg,NO,61.9875,5.1352,45.86,74,76,11.56,broken clouds
251,Hutchinson,US,38.0608,-97.9298,64.72,37,0,17.27,clear sky
252,Jibuti,DJ,11.5,42.5,74.52,68,89,7.09,overcast clouds
253,Saskylakh,RU,71.9167,114.0833,-9.29,99,94,7.0,overcast clouds
254,Colares,PT,38.7992,-9.4469,60.76,73,14,15.01,few clouds
255,Preili,LV,56.2944,26.7246,33.78,88,96,12.44,overcast clouds
256,Moindou,NC,-21.6924,165.677,78.08,70,41,5.73,scattered clouds
257,Bubaque,GW,11.2833,-15.8333,74.62,73,6,19.13,clear sky
258,Itarema,BR,-2.9248,-39.9167,78.6,82,75,6.06,broken clouds
259,Clarence Town,AU,-32.5833,151.7833,66.85,73,96,0.96,overcast clouds
260,Arlit,NE,18.7369,7.3853,82.94,10,7,10.69,clear sky
261,Ivaipora,BR,-24.2478,-51.6847,56.39,71,0,3.24,clear sky
262,Port Macquarie,AU,-31.4333,152.9167,66.88,69,73,5.46,broken clouds
263,Wuning,CN,29.2589,120.2311,52.18,83,100,2.55,overcast clouds
264,Kilindoni,TZ,-7.9139,39.6668,81.99,80,100,16.2,moderate rain
265,Coffs Harbour,AU,-30.3,153.1333,66.16,82,100,9.22,overcast clouds
266,Padang,ID,-0.9492,100.3543,78.33,82,100,2.13,overcast clouds
267,Aklavik,CA,68.2191,-135.0107,7.18,76,97,5.79,overcast clouds
268,Marinette,US,45.1,-87.6307,37.49,32,40,11.5,scattered clouds
269,Bara,NG,10.3744,10.7288,84.33,50,100,7.36,overcast clouds
270,Berlevag,NO,70.8578,29.0864,37.2,97,100,26.31,overcast clouds
271,Lerwick,GB,60.1545,-1.1494,46.4,89,62,22.53,broken clouds
272,Teeli,RU,51.0333,90.2333,34.14,28,17,2.19,few clouds
273,Kirksville,US,40.1948,-92.5833,51.75,42,0,13.8,clear sky
274,Esperance,AU,-33.8667,121.9,57.04,78,51,10.11,broken clouds
275,Springfield,US,37.2153,-93.2982,61.66,70,100,7.0,overcast clouds
276,Baglan,AF,36.1307,68.7083,67.35,35,0,3.13,clear sky
277,Port Shepstone,ZA,-30.7414,30.455,63.61,85,100,19.06,light rain
278,Sioux Lookout,CA,50.1001,-91.917,19.47,68,100,13.8,overcast clouds
279,Shirokiy,RU,49.758,129.523,35.46,87,99,13.96,overcast clouds
280,Mufumbwe,ZM,-13.6833,24.8,63.81,98,95,3.87,light rain
281,Tiksi,RU,71.6872,128.8694,-1.53,100,100,3.76,overcast clouds
282,Deer Lake,CA,49.1667,-57.4316,44.46,49,75,8.05,broken clouds
283,Rocky Mountain House,CA,52.3668,-114.9188,28.51,50,100,3.44,overcast clouds
284,Abu Samrah,SY,35.3029,37.1841,55.42,49,0,6.04,clear sky
285,Sola,VU,-13.8833,167.55,81.73,71,98,4.05,overcast clouds
286,Brazzaville,CG,-4.2658,15.2832,70.84,94,100,1.54,overcast clouds
287,Katsuura,JP,35.1333,140.3,50.92,84,100,25.08,overcast clouds
288,Okahandja,NA,-21.9833,16.9167,62.8,54,18,3.53,few clouds
289,Arenapolis,BR,-14.4503,-56.8461,71.64,93,48,1.41,scattered clouds
290,Paamiut,GL,61.994,-49.6678,24.17,78,42,14.2,scattered clouds
291,Acapulco,MX,16.8634,-99.8901,85.82,58,40,6.91,scattered clouds
292,Nanortalik,GL,60.1432,-45.2371,26.42,76,82,8.86,broken clouds
293,Ust-Kulom,RU,61.6864,53.6902,25.81,91,100,10.38,overcast clouds
294,Waipawa,NZ,-41.4122,175.5153,62.04,64,10,24.45,clear sky
295,Toledo,ES,39.8333,-4.0,59.83,58,3,5.39,clear sky
296,Puerto Escondido,MX,15.85,-97.0667,86.16,59,56,6.85,broken clouds
297,Ahipara,NZ,-35.1667,173.1667,66.7,58,99,5.3,overcast clouds
298,Nome,US,64.5011,-165.4064,35.11,80,100,21.85,overcast clouds
299,Masunga,BW,-20.6246,27.4488,65.7,77,49,4.94,light rain
300,Portland,US,45.5234,-122.6762,56.55,48,40,5.75,scattered clouds
301,Pedasi,PA,7.5333,-80.0333,83.07,74,60,10.4,broken clouds
302,Guerrero Negro,MX,27.9769,-114.0611,65.48,57,97,17.96,overcast clouds
303,Darab,IR,28.7519,54.5444,68.13,39,100,1.48,overcast clouds
304,Victoria,HK,22.2855,114.1577,72.32,78,98,21.0,overcast clouds
305,Bulolo,PG,-7.2,146.65,77.61,78,100,1.66,overcast clouds
306,Mazamari,PE,-11.3258,-74.5308,72.1,96,100,1.23,overcast clouds
307,Coihaique,CL,-45.5752,-72.0662,56.01,82,40,3.44,scattered clouds
308,Kitimat,CA,54.0524,-128.6534,50.38,40,95,1.88,overcast clouds
309,Tomatlan,MX,19.9333,-105.25,84.07,44,100,7.23,overcast clouds
310,Kodinsk,RU,58.6881,99.1844,30.43,97,67,2.8,broken clouds
311,Morro Bay,US,35.3658,-120.8499,77.18,66,67,7.0,broken clouds
312,Chapais,CA,49.7834,-74.8492,35.38,83,100,3.04,overcast clouds
313,Kangaatsiaq,GL,68.3065,-53.4641,3.6,97,99,6.73,overcast clouds
314,Khani,GE,41.9563,42.9566,33.37,83,15,4.83,few clouds
315,Pyapon,MM,16.2833,95.6833,79.38,84,1,7.7,clear sky
316,Dhidhdhoo,MV,6.8833,73.1,84.09,72,30,8.81,scattered clouds
317,Gazojak,TM,41.1875,61.4036,67.06,36,100,23.76,overcast clouds
318,Russell,US,32.3502,-85.1999,81.68,30,0,4.61,clear sky
319,Hit,IQ,33.6416,42.8251,65.41,19,29,6.96,scattered clouds
320,Alekseyevsk,RU,57.8406,108.3492,28.38,88,99,1.63,overcast clouds
321,Sioux Falls,US,43.55,-96.7003,42.66,34,20,19.57,few clouds
322,Grindavik,IS,63.8424,-22.4338,48.15,93,100,36.82,light intensity drizzle
323,Puerto Cabezas,NI,14.0351,-83.3888,85.96,66,40,4.61,scattered clouds
324,Bordei Verde,RO,45.0833,27.5667,54.97,69,94,8.88,overcast clouds
325,Shanhetun,CN,44.7,127.2,46.67,38,3,12.12,clear sky
326,Makakilo City,US,21.3469,-158.0858,82.72,48,75,16.11,broken clouds
327,Tautira,PF,-17.7333,-149.15,81.27,70,16,16.67,few clouds
328,Sorland,NO,67.667,12.6934,40.66,79,99,22.59,overcast clouds
329,Batemans Bay,AU,-35.7167,150.1833,62.1,59,98,2.71,overcast clouds
330,Itacoatiara,BR,-3.1431,-58.4442,74.62,96,100,3.69,heavy intensity rain
331,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.26,81,14,10.89,few clouds
332,Mayo,US,38.8876,-76.5119,70.5,33,0,17.27,clear sky
333,Yekaterinovka,RU,52.0508,44.3451,42.73,72,88,2.73,overcast clouds
334,Saint-Joseph,RE,-21.3667,55.6167,71.98,83,35,13.98,light rain
335,Airai,TL,-8.9266,125.4092,64.08,85,100,1.28,overcast clouds
336,Honiara,SB,-9.4333,159.95,80.11,82,100,2.04,overcast clouds
337,Pacifica,US,37.6138,-122.4869,70.41,59,40,16.11,scattered clouds
338,Sept-Iles,CA,50.2001,-66.3821,37.06,95,100,4.61,light intensity drizzle
339,Meulaboh,ID,4.1363,96.1285,76.82,88,75,3.38,broken clouds
340,Road Town,VG,18.4167,-64.6167,78.89,73,40,13.8,scattered clouds
341,Vardo,NO,70.3705,31.1107,35.69,90,100,24.67,light rain
342,Stornoway,GB,58.2093,-6.3865,50.94,93,100,0.0,overcast clouds
343,Praya,CV,14.9215,-23.5087,69.31,80,11,11.3,few clouds
344,Soyo,AO,-6.1349,12.3689,78.08,88,100,1.99,overcast clouds
345,Marsh Harbour,BS,26.5412,-77.0636,71.38,84,100,19.22,moderate rain
346,Alta Floresta,BR,-9.8756,-56.0861,73.17,93,38,2.17,scattered clouds
347,Egvekinot,RU,66.3167,-179.1667,17.49,85,86,16.17,overcast clouds
