City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,Narsaq,60.9167,-46.05,32.22,91,100,1.57,GL,2022-04-07 02:02:49
225,Taltal,-25.4,-70.4833,72.72,48,0,4.16,CL,2022-04-07 02:09:52
226,Kalmunai,7.4167,81.8167,79.75,79,81,5.86,LK,2022-04-07 02:09:52
227,Castro,-24.7911,-50.0119,62.6,97,55,3.6,BR,2022-04-07 02:09:19
228,Lavrentiya,65.5833,-171.0,-2.49,67,100,7.81,RU,2022-04-07 02:09:53
229,Acari,-15.4311,-74.6158,72.79,76,64,2.95,PE,2022-04-07 02:09:53
230,Kununurra,-15.7667,128.7333,91.38,62,11,5.75,AU,2022-04-07 02:09:54
231,Carutapera,-1.195,-46.02,75.52,94,99,4.63,BR,2022-04-07 02:10:54
232,Kyzyl-Suu,42.3414,78.0056,51.42,35,17,5.26,KG,2022-04-07 02:10:55
233,Hami,42.8,93.45,69.98,11,1,2.71,CN,2022-04-07 02:10:55
234,Souillac,-20.5167,57.5167,76.19,73,96,11.77,MU,2022-04-07 02:10:55
235,Tungao,8.7772,125.5719,85.41,68,91,3.44,PH,2022-04-07 02:10:56
236,La Rioja,42.25,-2.5,33.58,75,81,5.59,ES,2022-04-07 02:06:38
237,Starokozache,46.3372,29.9853,44.92,81,0,13.58,UA,2022-04-07 02:10:56
238,Ulladulla,-35.35,150.4667,63.77,88,100,10.0,AU,2022-04-07 02:10:57
239,Ardabil,38.2498,48.2933,40.46,81,100,8.16,IR,2022-04-07 02:10:57
240,Jacareacanga,-6.2222,-57.7528,73.45,96,49,1.61,BR,2022-04-07 02:10:57
241,Moerai,-22.4333,-151.3333,82.36,66,100,12.64,PF,2022-04-07 02:10:58
242,Namtsy,62.7161,129.6658,14.2,84,100,5.73,RU,2022-04-07 02:10:58
243,Onega,63.9061,38.1404,12.13,96,22,3.62,RU,2022-04-07 02:10:59
244,Tautira,-17.7333,-149.15,82.2,73,72,20.45,PF,2022-04-07 02:10:59
245,Barao De Melgaco,-16.1944,-55.9675,76.98,68,24,1.81,BR,2022-04-07 02:10:59
246,Isangel,-19.55,169.2667,78.96,88,100,18.23,VU,2022-04-07 02:03:06
247,Zonguldak,41.25,31.8333,41.95,83,0,4.27,TR,2022-04-07 02:11:00
248,Lebu,-37.6167,-73.65,55.83,92,100,4.03,CL,2022-04-07 02:03:05
249,Luena,-11.7833,19.9167,61.25,96,32,2.68,AO,2022-04-07 02:11:00
250,Darhan,49.4867,105.9228,54.66,34,11,6.71,MN,2022-04-07 02:10:45
251,Tuktoyaktuk,69.4541,-133.0374,16.07,94,49,7.4,CA,2022-04-07 02:11:01
252,Plouzane,48.3833,-4.6167,52.12,96,100,25.32,FR,2022-04-07 02:11:01
253,Paris,48.8534,2.3488,52.57,84,100,16.11,FR,2022-04-07 02:09:18
254,Gari,59.4307,62.3497,27.19,93,81,7.09,RU,2022-04-07 02:11:02
255,Vila Velha,-20.3297,-40.2925,78.75,84,75,6.91,BR,2022-04-07 02:11:02
256,Miandoab,36.9694,46.1027,59.38,33,100,6.51,IR,2022-04-07 02:11:03
257,Bhatkal,13.9667,74.5667,81.0,80,15,2.93,IN,2022-04-07 02:11:03
258,Nueve De Julio,-35.4444,-60.8831,66.4,53,0,5.86,AR,2022-04-07 02:10:10
259,Kozmodemyansk,56.3367,46.5711,24.49,96,10,10.54,RU,2022-04-07 02:11:04
260,Kutum,14.2,24.6667,74.77,14,6,9.64,SD,2022-04-07 02:11:04
261,Sosnogorsk,63.6023,53.8817,25.54,94,100,8.14,RU,2022-04-07 02:11:05
262,Quatre Cocos,-20.2078,57.7625,74.08,70,97,12.3,MU,2022-04-07 02:11:05
263,Imeni Poliny Osipenko,52.4201,136.4853,27.54,57,31,4.59,RU,2022-04-07 02:11:06
264,Sandwick,60.0,-1.25,39.02,60,75,25.32,GB,2022-04-07 02:11:06
265,Mangai,-4.05,19.5333,71.47,88,100,0.25,CD,2022-04-07 02:11:06
266,Alyangula,-13.8483,136.4192,89.19,45,35,7.65,AU,2022-04-07 02:11:07
267,Sao Joao Evangelista,-18.5478,-42.7633,66.85,79,97,1.86,BR,2022-04-07 02:11:07
268,Horconcitos,8.4682,-81.8007,69.8,87,59,4.63,PA,2022-04-07 02:11:08
269,Rundu,-17.9333,19.7667,71.53,47,83,4.74,NA,2022-04-07 02:11:09
270,Liberal,37.0431,-100.921,51.04,23,100,23.02,US,2022-04-07 02:11:09
271,Ternate,0.8,127.4,83.66,74,100,8.48,ID,2022-04-07 02:11:10
272,Paamiut,61.994,-49.6678,28.04,97,92,7.18,GL,2022-04-07 02:11:10
273,Kizukuri,40.8061,140.3861,46.42,41,47,2.42,JP,2022-04-07 02:11:11
274,Cabo Rojo,18.0866,-67.1457,76.68,84,10,5.99,PR,2022-04-07 02:11:11
275,Vostok,46.4856,135.8833,30.04,52,78,13.67,RU,2022-04-07 02:11:11
276,Saldanha,-33.0117,17.9442,59.63,63,100,17.56,ZA,2022-04-07 02:11:12
277,Port-Gentil,-0.7193,8.7815,80.6,84,100,14.5,GA,2022-04-07 02:11:12
278,Karratha,-20.7377,116.8463,93.74,35,11,10.76,AU,2022-04-07 02:12:13
279,Bignona,12.8103,-16.2264,78.01,37,63,11.18,SN,2022-04-07 02:12:13
280,Kahului,20.8947,-156.47,80.62,61,75,20.71,US,2022-04-07 02:12:14
281,Birao,10.2849,22.7882,80.08,45,62,1.14,CF,2022-04-07 02:12:14
282,Lac Du Bonnet,50.2536,-96.0612,33.58,97,100,14.25,CA,2022-04-07 02:12:15
283,Kastamonu,41.5,33.6667,38.86,94,0,2.06,TR,2022-04-07 02:12:15
284,Jutai,-5.1833,-68.9,73.81,92,56,1.83,BR,2022-04-07 02:12:16
285,Hongjiang,27.11,109.9956,74.71,57,0,1.81,CN,2022-04-07 02:12:16
286,Berlevag,70.8578,29.0864,31.8,84,100,22.32,NO,2022-04-07 02:12:17
287,Sambava,-14.2667,50.1667,74.79,90,94,6.33,MG,2022-04-07 02:12:17
288,Pisco,-13.7,-76.2167,66.25,88,0,16.11,PE,2022-04-07 02:12:18
289,Roald,62.5833,6.1333,31.75,69,8,11.5,NO,2022-04-07 02:12:18
290,Atbasar,51.8,68.3333,22.15,98,84,5.32,KZ,2022-04-07 02:12:18
291,Touros,-5.1989,-35.4608,79.23,79,58,9.98,BR,2022-04-07 02:12:15
292,Westport,41.1415,-73.3579,49.82,93,100,4.61,US,2022-04-07 02:08:30
293,Nanortalik,60.1432,-45.2371,28.99,90,85,6.44,GL,2022-04-07 02:12:19
294,Batticaloa,7.7102,81.6924,79.77,79,74,6.4,LK,2022-04-07 02:12:20
