City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
71,Najran,SA,75.85,clear sky,17.4924,44.1277,محمد هادي ال فطيح
72,Manokwari,ID,81.48,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
73,Rawson,AR,70.86,clear sky,-43.3002,-65.1023,Hosteria Sampedro
76,Port Hedland,AU,77.05,few clouds,-20.3167,118.5667,The Esplanade Hotel
77,Mount Isa,AU,80.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
82,Vaitape,PF,82.22,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
84,Arraial Do Cabo,BR,73.26,few clouds,-22.9661,-42.0278,Pousada Porto Praia
85,Matara,LK,78.66,few clouds,5.9485,80.5353,Amaloh Boutique Resort
86,Georgetown,MY,78.75,few clouds,5.4112,100.3354,Cititel Penang
95,Kailua,US,84.18,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
96,Yanam,IN,77.45,scattered clouds,16.7333,82.2167,The Regency Hotel
97,Butaritari,KI,81.16,broken clouds,3.0707,172.7902,Isles Sunset Lodge
98,Ahuimanu,US,83.91,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
102,Loiza,PR,79.05,mist,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
106,Fort Myers Beach,US,80.01,clear sky,26.452,-81.9481,Lani Kai Island Resort
108,Ixtapa,MX,76.23,broken clouds,20.7,-105.2,hotel la terminal
112,Sabha,LY,75.33,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
113,Bengkulu,ID,76.08,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
116,Moerai,PF,80.71,few clouds,-22.4333,-151.3333,Le Manotel
117,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
121,Sabang,ID,83.12,overcast clouds,5.8933,95.3214,Hotel Citra
122,Mangochi,MW,70.83,scattered clouds,-14.4782,35.2645,Fort Johnstone Hotel
123,Nuevo Progreso,MX,85.53,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
124,Dingle,PH,78.37,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
125,Hithadhoo,MV,82.6,broken clouds,-0.6,73.0833,Scoop Guest House
130,Guymon,US,82.4,clear sky,36.6828,-101.4816,Simple Rewards
